Category,Discipline,Performance,Wind,Competitor,DOB,Country,Venue,Date
Men,Pole Vault,6.25,,Armand DUPLANTIS,10 NOV 1999,Sweden,"Stade de France, Paris (FRA)",05 AUG 2024
Men,Long Jump,8.90,+2.0,Bob BEAMON,29 AUG 1946,United States,"Estadio Olímpico, Ciudad de México (MEX)",18 OCT 1968
Men,Triple Jump,18.09,-0.4,Kenny HARRISON,13 FEB 1965,United States,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996
Men,Shot Put,23.30,,Ryan CROUSER,18 DEC 1992,United States,"National Stadium, Tokyo (JPN)",05 AUG 2021
Men,Discus Throw,70.00,,Roje STONA,26 FEB 1999,Jamaica,"Stade de France, Paris (FRA)",07 AUG 2024
Men,Hammer Throw,84.80,,Sergey LITVINOV,23 JAN 1958,Soviet Union,"Olympic Stadium, Seoul (KOR)",26 SEP 1988
Men,Javelin Throw,92.97,,Arshad NADEEM,02 JAN 1997,Pakistan,"Stade de France, Paris (FRA)",08 AUG 2024
Men,Marathon,2:06:26,,Tamirat TOLA,11 AUG 1991,Ethiopia,"Stade de France, Paris (FRA)",10 AUG 2024
Men,20 Kilometres Race Walk,1:18:46,,Ding CHEN,05 AUG 1992,China,"Olympic Stadium, London (GBR)",04 AUG 2012
Men,50 Kilometres Race Walk,3:36:53,,Jared TALLENT,17 OCT 1984,Australia,"Olympic Stadium, London (GBR)",11 AUG 2012
Men,Decathlon,9018,,Damian WARNER,04 NOV 1989,Canada,"National Stadium, Tokyo (JPN)",05 AUG 2021
Men,4x100 Metres Relay,36.84,,Jamaica,N/A,Jamaica,"Olympic Stadium, London (GBR)",11 AUG 2012
Men,4x400 Metres Relay,2:54.43,,United States,N/A,United States,"Stade de France, Paris (FRA)",10 AUG 2024
Mixed,4x400 Metres Relay Mixed,3:07.41,,United States,N/A,United States,"Stade de France, Paris (FRA)",02 AUG 2024
